run_key,label,condition,shot,accuracy_8,accuracy_128,delta_128_minus_8,paired_task_se,normal_ci95_low,normal_ci95_high
timesfm,TimesFM 2.5 200M,deranged,24,0.15375,0.141484375,-0.012265625,0.009851660156548234,-0.03157487890683454,0.0070436289068345394
timesfm,TimesFM 2.5 200M,deranged,32,0.13125,0.140390625,0.009140625,0.009565132558957194,-0.009607034815556099,0.027888284815556098
timesfm,TimesFM 2.5 200M,deranged,48,0.14375,0.140234375,-0.003515625,0.008848855776868381,-0.02085938232266203,0.013828132322662027
progen2,ProGen2 base,clean,1,0.11875,0.124609375,0.005859375,0.010330118076232615,-0.014387656429415925,0.026106406429415925
progen2,ProGen2 base,clean,2,0.1475,0.13734375,-0.01015625,0.00973725361052239,-0.02924126707662389,0.008928767076623887
progen2,ProGen2 base,clean,4,0.1675,0.166640625,-0.000859375,0.010460899810915351,-0.021362738629394088,0.01964398862939409
progen2,ProGen2 base,clean,8,0.2025,0.19453125,-0.00796875,0.012907164836605992,-0.03326679307974774,0.017329293079747742
progen2,ProGen2 base,clean,16,0.22625,0.219140625,-0.007109375,0.011957580497597918,-0.03054623277529192,0.01632748277529192
progen2,ProGen2 base,clean,32,0.26375,0.249765625,-0.013984375,0.013686711826824002,-0.04081033018057505,0.012841580180575043
progen2,ProGen2 base,clean,48,0.2875,0.26421875,-0.02328125,0.014154693929684794,-0.05102445010218219,0.004461950102182196
progen2,ProGen2 base,deranged,1,0.11875,0.124609375,0.005859375,0.010330118076232615,-0.014387656429415925,0.026106406429415925
progen2,ProGen2 base,deranged,2,0.1525,0.126953125,-0.025546875,0.011162821038082232,-0.047426004234641175,-0.003667745765358825
progen2,ProGen2 base,deranged,4,0.13625,0.148203125,0.011953125,0.01071222218086617,-0.009042830474497691,0.03294908047449769
progen2,ProGen2 base,deranged,8,0.13875,0.1525,0.01375,0.010392443426170846,-0.00661918911529486,0.03411918911529486
progen2,ProGen2 base,deranged,16,0.155,0.157421875,0.002421875,0.01139774734546167,-0.01991770979710487,0.02476145979710487
progen2,ProGen2 base,deranged,32,0.1475,0.15859375,0.01109375,0.011809768586857504,-0.012053396430240709,0.03424089643024071
progen2,ProGen2 base,deranged,48,0.15125,0.165078125,0.013828125,0.010896757970175096,-0.00752952062154319,0.03518577062154319
