run_key,label,family,canonical,shot,clean_accuracy,deranged_accuracy,clean_minus_deranged,paired_task_se,task_bootstrap_ci95_low,task_bootstrap_ci95_high
nextterm_47m,NextTerm 47M,nextterm,False,8,0.2296875,0.1390625,0.090625,0.01741236909154095,0.058826171875000006,0.125236328125
nextterm_47m,NextTerm 47M,nextterm,False,16,0.264453125,0.144765625,0.1196875,0.019840785838027043,0.083203125,0.16046875
nextterm_47m,NextTerm 47M,nextterm,False,32,0.216796875,0.147734375,0.0690625,0.012942339162316224,0.045544921875000005,0.096171875
nextterm_47m,NextTerm 47M,nextterm,False,64,0.1471875,0.132578125,0.014609375,0.004185349626425847,0.00671875,0.023046875
imagegpt_small,ImageGPT small,imagegpt,False,1,0.186328125,0.186328125,0.0,0.0,0.0,0.0
imagegpt_small,ImageGPT small,imagegpt,False,2,0.23734375,0.176796875,0.060546875,0.009477927590303649,0.0428125,0.079765625
imagegpt_small,ImageGPT small,imagegpt,False,4,0.293125,0.179609375,0.113515625,0.015275629682477268,0.084685546875,0.143984375
imagegpt_small,ImageGPT small,imagegpt,False,8,0.320703125,0.18515625,0.135546875,0.018428755510125707,0.101171875,0.17234765624999993
imagegpt_small,ImageGPT small,imagegpt,False,16,0.3415625,0.187734375,0.153828125,0.02102061154744924,0.11445117187500001,0.196328125
imagegpt_small,ImageGPT small,imagegpt,False,31,0.351875,0.182578125,0.169296875,0.02259127170899785,0.1275,0.2159375
imagegpt_medium,ImageGPT medium,imagegpt,False,1,0.1890625,0.1890625,0.0,0.0,0.0,0.0
imagegpt_medium,ImageGPT medium,imagegpt,False,2,0.27,0.17875,0.09125,0.013880201670786959,0.06609179687500001,0.118984375
imagegpt_medium,ImageGPT medium,imagegpt,False,4,0.336953125,0.1815625,0.155390625,0.02176505984731122,0.114763671875,0.199375
imagegpt_medium,ImageGPT medium,imagegpt,False,8,0.378671875,0.18234375,0.196328125,0.024935220038540325,0.1496875,0.2459375
imagegpt_medium,ImageGPT medium,imagegpt,False,16,0.4078125,0.188203125,0.219609375,0.028267974266661295,0.16546875,0.27617578125
imagegpt_medium,ImageGPT medium,imagegpt,False,31,0.42203125,0.18484375,0.2371875,0.028981232089871013,0.181794921875,0.294609375
progen2_small,ProGen2 small,progen2,False,1,0.116484375,0.116484375,0.0,0.0,0.0,0.0
progen2_small,ProGen2 small,progen2,False,2,0.127578125,0.12015625,0.007421875,0.0034304173332145665,0.000625,0.014140625
progen2_small,ProGen2 small,progen2,False,4,0.153125,0.13359375,0.01953125,0.004707842014791636,0.01015625,0.028671875
progen2_small,ProGen2 small,progen2,False,8,0.178203125,0.1440625,0.034140625,0.004713280065568308,0.025076171875,0.043515625
progen2_small,ProGen2 small,progen2,False,16,0.192890625,0.14609375,0.046796875,0.005437087045665183,0.036328125,0.057265625
progen2_small,ProGen2 small,progen2,False,32,0.204921875,0.1496875,0.055234375,0.006865106194450276,0.04171875,0.06875
progen2_small,ProGen2 small,progen2,False,48,0.208671875,0.158046875,0.050625,0.005189929606283868,0.040546875,0.06078125
progen2_medium,ProGen2 medium,progen2,False,1,0.11796875,0.11796875,0.0,0.0,0.0,0.0
progen2_medium,ProGen2 medium,progen2,False,2,0.1303125,0.121640625,0.008671875,0.00436311149651588,0.000234375,0.017265625
progen2_medium,ProGen2 medium,progen2,False,4,0.1559375,0.139296875,0.016640625,0.004439814303943779,0.007732421875000002,0.025234375
progen2_medium,ProGen2 medium,progen2,False,8,0.17859375,0.143046875,0.035546875,0.004980052886059367,0.02578125,0.045078125
progen2_medium,ProGen2 medium,progen2,False,16,0.2,0.14578125,0.05421875,0.006883549694165462,0.04109375,0.067734375
progen2_medium,ProGen2 medium,progen2,False,32,0.22234375,0.1484375,0.07390625,0.00830399962675435,0.05796875,0.09008007812499996
progen2_medium,ProGen2 medium,progen2,False,48,0.22640625,0.155859375,0.070546875,0.007136518211533849,0.056875,0.084609375
progen2_large,ProGen2 large,progen2,False,1,0.127265625,0.127265625,0.0,0.0,0.0,0.0
progen2_large,ProGen2 large,progen2,False,2,0.139296875,0.1303125,0.008984375,0.004045612176706001,0.00109375,0.01671875
progen2_large,ProGen2 large,progen2,False,4,0.1565625,0.143984375,0.012578125,0.004135320954830881,0.004375,0.02046875
progen2_large,ProGen2 large,progen2,False,8,0.178046875,0.15203125,0.026015625,0.003963524245372456,0.01828125,0.033671875
progen2_large,ProGen2 large,progen2,False,16,0.191015625,0.151796875,0.03921875,0.005410357448830545,0.028671875,0.049453125
progen2_large,ProGen2 large,progen2,False,32,0.19484375,0.1503125,0.04453125,0.006526495296998415,0.031873046875000005,0.057578125
progen2_large,ProGen2 large,progen2,False,48,0.20171875,0.15109375,0.050625,0.005953427600079969,0.03890625,0.06234375
progen2_xlarge,ProGen2 xlarge,progen2,False,1,0.119140625,0.119140625,0.0,0.0,0.0,0.0
progen2_xlarge,ProGen2 xlarge,progen2,False,2,0.123671875,0.11703125,0.006640625,0.003670061205792263,-0.000546875,0.013671875
progen2_xlarge,ProGen2 xlarge,progen2,False,4,0.145234375,0.130703125,0.01453125,0.004359047168713096,0.006015625,0.023125
progen2_xlarge,ProGen2 xlarge,progen2,False,8,0.156171875,0.136015625,0.02015625,0.004156563271401828,0.012185546875000001,0.02828125
