run_key,label,family,canonical,condition,shot,model,seed,tasks,trials_per_task,total_predictions,mean_accuracy,accuracy_task_cluster_se,mean_edit_distance,edit_distance_task_cluster_se,path
progen2,ProGen2 base,progen2,True,clean,4,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.166640625,0.020295816465853867,2.656015625,0.08881978205781181,progen2/clean/ProGen2-base-bf16_ic4.json
progen2,ProGen2 base,progen2,True,clean,8,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.19453125,0.022539756236260082,2.45125,0.09300976436993189,progen2/clean/ProGen2-base-bf16_ic8.json
progen2,ProGen2 base,progen2,True,clean,16,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.219140625,0.023710368388303447,2.284765625,0.09840094061908876,progen2/clean/ProGen2-base-bf16_ic16.json
progen2,ProGen2 base,progen2,True,clean,32,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.249765625,0.024990246035571616,2.114765625,0.09721968041382169,progen2/clean/ProGen2-base-bf16_ic32.json
progen2,ProGen2 base,progen2,True,clean,48,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.26421875,0.025125793251272326,2.0190625,0.09560876448709468,progen2/clean/ProGen2-base-bf16_ic48.json
progen2,ProGen2 base,progen2,True,deranged,1,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.124609375,0.016414092566973987,3.08,0.06197221520095018,progen2/deranged/ProGen2-base-bf16_ic1.json
progen2,ProGen2 base,progen2,True,deranged,2,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.126953125,0.018030360381810127,3.07359375,0.07380313588565318,progen2/deranged/ProGen2-base-bf16_ic2.json
progen2,ProGen2 base,progen2,True,deranged,4,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.148203125,0.02128026030558492,2.936953125,0.09253528701922457,progen2/deranged/ProGen2-base-bf16_ic4.json
progen2,ProGen2 base,progen2,True,deranged,8,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.1525,0.022121201986688217,2.91609375,0.10126885604480959,progen2/deranged/ProGen2-base-bf16_ic8.json
progen2,ProGen2 base,progen2,True,deranged,16,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.157421875,0.02284752369504019,2.89296875,0.10690220230379796,progen2/deranged/ProGen2-base-bf16_ic16.json
progen2,ProGen2 base,progen2,True,deranged,32,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.15859375,0.023987008325728337,2.8784375,0.107122326554426,progen2/deranged/ProGen2-base-bf16_ic32.json
progen2,ProGen2 base,progen2,True,deranged,48,N8Programs/ProGen2-base-bf16,42,100,128,12800,0.165078125,0.02441073178037692,2.855,0.10848030531582284,progen2/deranged/ProGen2-base-bf16_ic48.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,1,Qwen/Qwen3-0.6B-Base,28035151,100,128,12800,0.133125,0.01897484608041005,3.139609375,0.06727211012831867,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic1.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,2,Qwen/Qwen3-0.6B-Base,2087478897,100,128,12800,0.1434375,0.019995437255733613,2.973046875,0.07853666595172182,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic2.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,4,Qwen/Qwen3-0.6B-Base,1893874910,100,128,12800,0.1553125,0.020948509750430673,2.875546875,0.0923045433137657,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic4.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,8,Qwen/Qwen3-0.6B-Base,763767702,100,128,12800,0.1578125,0.020635304091213887,2.746796875,0.0990436543443817,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic8.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,16,Qwen/Qwen3-0.6B-Base,330358427,100,128,12800,0.161484375,0.02059045659804264,2.650859375,0.102836421813944,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic16.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,32,Qwen/Qwen3-0.6B-Base,204944796,100,128,12800,0.177421875,0.02096969312626718,2.476328125,0.09883811072141022,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic32.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,clean,64,Qwen/Qwen3-0.6B-Base,579850918,100,128,12800,0.2040625,0.02188296887678575,2.2696875,0.09379283270262487,qwen3_family/qwen3_0_6b/clean/Qwen3-0.6B-Base_ic64.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,1,Qwen/Qwen3-0.6B-Base,28035151,100,128,12800,0.133125,0.01897484608041005,3.139609375,0.06727211012831867,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic1.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,2,Qwen/Qwen3-0.6B-Base,2087478897,100,128,12800,0.1465625,0.020498047744408998,3.05421875,0.07955988339216966,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic2.json
qwen3_0_6b,Qwen3 0.6B,qwen3,False,deranged,4,Qwen/Qwen3-0.6B-Base,1893874910,100,128,12800,0.1484375,0.02073782558606082,3.01375,0.09898612299196823,qwen3_family/qwen3_0_6b/deranged/Qwen3-0.6B-Base_deranged_ic4.json
