key,label,shot,clean_accuracy,clean_accuracy_stderr,deranged_accuracy,deranged_accuracy_stderr,accuracy_gap,clean_edit_distance,clean_edit_distance_stderr,deranged_edit_distance,deranged_edit_distance_stderr,edit_distance_gap,clean_file,deranged_file,clean_sha256,deranged_sha256
imagegpt,ImageGPT large,4,0.3325,0.031039442161497836,0.18125,0.02514948992393968,0.15125000000000002,2.1025,0.1462858779267776,2.93125,0.12115780624933548,0.8287499999999999,data/principal_results/imagegpt/clean/imagegpt-large-bf16_4shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_4shot_leftpad_deranged.json,e0804618fc7704a4e51d9f9772ab0b99dcc80a0c0a6671a95e916e9d6fa73e67,c4048d8949187abf40b86e2a83feebbc6cc7616864bfb4a78dfc710daea6f93b
imagegpt,ImageGPT large,8,0.38,0.03256307011560082,0.1975,0.02979199777311235,0.1825,2.02,0.143929345741779,2.86375,0.13271750539161645,0.84375,data/principal_results/imagegpt/clean/imagegpt-large-bf16_8shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_8shot_leftpad_deranged.json,35fb7a113221fbd3cc519363b346cbec4a4df07772c7006f69282be35daaa5a7,1f5dfe7840239357f714f635ba3feb6d28e447a58ae75273f385655be7f15fbf
imagegpt,ImageGPT large,16,0.4225,0.03574513458450879,0.17875,0.02707633942329828,0.24375,1.82125,0.14981317279339706,2.8975,0.1340814711624649,1.07625,data/principal_results/imagegpt/clean/imagegpt-large-bf16_16shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_16shot_leftpad_deranged.json,bb2a027caa99a9e21c1c95ee545d3a2d08166276ee97db63c163e7c2c4b87f93,d5735ccc20537241a42d517e8f93ef8f22db369f02900577ca97db693014007d
imagegpt,ImageGPT large,31,0.45125,0.03688018924281515,0.19375,0.0291599018128898,0.25749999999999995,1.735,0.14834184517627866,2.75,0.13140172807620965,1.015,data/principal_results/imagegpt/clean/imagegpt-large-bf16_31shot_leftpad_clean.json,data/principal_results/imagegpt/deranged/imagegpt-large-bf16_31shot_leftpad_deranged.json,ec81b93e565435ebd3fb1276f9a0b230ffe0e1291dd8de413897160863edb586,de07836abef3cb69042e382fbd1367a8510e8ffe4b71a222be05d817b7cd2a7d
timesfm,TimesFM 2.5 200M,1,0.12375,0.01661877589117839,0.12375,0.01661877589117839,0.0,3.0675,0.0995320490489309,3.0675,0.0995320490489309,0.0,data/principal_results/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic1.json,data/principal_results/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic1.json,f73fe769b1226d03bd14df7ea8e5554f73f991b967a5a3b773c094e6f39645be,2ef0898035a0f6ade84673998fc386da66d0e97d9daa19b79401c9160bd396bd
timesfm,TimesFM 2.5 200M,2,0.18375,0.02333164225473703,0.135,0.022309802166923683,0.04874999999999999,2.45375,0.10580760543877207,2.8375,0.11851218877773244,0.38375000000000004,data/principal_results/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic2.json,data/principal_results/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic2.json,c979759d4cf9b88b7f47e6d67313d90d50cf2517d2c9689e894d3f6fb9364e47,c4184ad6252b285c2c8c7057874cf6fbc0e8cb37f5a0ace2ae33ef9b9ac56c61
timesfm,TimesFM 2.5 200M,4,0.20875,0.02481338175544426,0.15125,0.023455779908395948,0.057499999999999996,2.2325,0.12486128667081287,2.8525,0.12456211180358856,0.6200000000000001,data/principal_results/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic4.json,data/principal_results/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic4.json,7fa273416f0a91ac00bdebb6149c3b2b31ed23cab2a615684a3982ef27323fc9,1ca00361357e2d9dc616a7a08779cc71c442cbd584975db3e040d565e3d82df2
timesfm,TimesFM 2.5 200M,8,0.2325,0.027867154193212534,0.13125,0.02405899472697742,0.10125,2.05375,0.11893433327392529,2.73,0.11931147167279126,0.67625,data/principal_results/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic8.json,data/principal_results/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic8.json,b4706fbaef5608460da6fc7f893f2efc58438d5a4e83483ee2a2048800df839d,35b4b0bdf496ec0a81f42a256a2b8d976672b20bf3024abfbf840fc97cb9e47c
timesfm,TimesFM 2.5 200M,16,0.27625,0.02776928531796789,0.14125,0.024142817385573112,0.135,1.89875,0.1303609862743614,2.7725,0.12106665039714215,0.87375,data/principal_results/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic16.json,data/principal_results/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic16.json,404df178b1e99f44ac1ef559f937e639e174ba3bfa53f329b8f0aec58a458c1e,b887ea33f2e4250cce6addcd72835497faf45309e27d3e008b2c15b344e1675d
timesfm,TimesFM 2.5 200M,24,0.285,0.026357104729028368,0.15375,0.02492760983975865,0.13124999999999998,1.7975,0.11501509562758369,2.73125,0.1147897589623145,0.9337500000000001,data/principal_results/timesfm/clean/timesfm2_5_fp32_sine_lobe_2bit_iozero_ic24.json,data/principal_results/timesfm/deranged/timesfm2_5_fp32_sine_lobe_2bit_iozero_deranged_ic24.json,1427519ca893838e3f4ac0aa2b48cdbac7e92e88f294f1d4e91f6b8663073228,a509b4cfa7ea379dcd76476530be52cb53d0c407a252f4130d5a363274d24e8a
