left,right,metric,observed_spearman,posterior_mean,posterior_median,ci95_low,ci95_high,task_bootstrap_mean,task_bootstrap_median,task_bootstrap_ci95_low,task_bootstrap_ci95_high,reference_spearman
Genome,Image,clean,0.45268565403302513,0.4419549678967896,0.44188418841884186,0.40978007800780075,0.47405970597059705,0.44852752792879,0.45158280900818176,0.25553203702981725,0.6203881762304111,0.38325639090681535
Genome,Image,deranged,0.8687708645624839,0.8316451809180919,0.8317671767176718,0.7915268526852686,0.8694749474947495,0.864853904365605,0.8692297448983243,0.7870384452149953,0.9196988126563945,0.80096397442999
Genome,Image,gap,0.14949268521005954,0.125708402040204,0.1255145514551455,0.046441944194419445,0.20648154815481548,0.1482148277363827,0.15007797599850875,-0.056281631469475714,0.33961716559324107,0.06334577793472303
Genome,Image,residual,0.1096382911039889,0.09556886528652865,0.09565556555655566,0.03788628862886288,0.15394299429942987,0.1063920948793032,0.10710757466498141,-0.08458734198159107,0.2924622730365956,0.13526307724668732
Genome,Time,clean,0.7717108174114757,0.7612567812781279,0.7613021302130214,0.731004800480048,0.7907233723372337,0.7663347129327279,0.7706708263936217,0.6625919950920616,0.8482284156842755,0.6010309019508051
Genome,Time,deranged,0.9077143521669314,0.8507373585358536,0.8514371437143714,0.8099003900390039,0.887958295829583,0.9041648853515564,0.9067772289410463,0.8538081693774032,0.9383355025771286,0.7466410258963755
Genome,Time,gap,0.6643236987468953,0.6237797659765977,0.6251605160516052,0.5544056405640564,0.6876210621062105,0.659609829834254,0.6634023329048195,0.540811040266876,0.7611803353514546,0.3097883298115508
Genome,Time,residual,0.6535239329780594,0.6202679039903991,0.6210981098109811,0.5605751575157516,0.6765202520252025,0.6540988496759268,0.6585629806773985,0.5268959634778899,0.7577945490523079,0.43478679946001264
Genome,Protein,clean,0.9685718791665758,0.9459244836483647,0.9462106210621062,0.9318202820282029,0.9585718571857186,0.9650761333494889,0.9659841897658992,0.9486218392062152,0.9767442425801908,0.7595971524824766
Genome,Protein,deranged,0.8981381251596391,0.8400196087608761,0.8405760576057606,0.7966735673567357,0.8803981398139814,0.8948355912837346,0.8977825228685543,0.8347463211311241,0.9373979326367946,0.7440997890500388
Genome,Protein,gap,0.886360024258017,0.7746045484548455,0.7767776777677767,0.696944494449445,0.8428580858085808,0.8819912267520711,0.8849059564003612,0.8233595370074357,0.9252954139201065,0.31654967428425146
Genome,Protein,residual,0.8944961562762597,0.7866660390039004,0.7890909090909091,0.7148736873687368,0.8495535553555356,0.8878274403170353,0.8918182260259016,0.8256261179829212,0.930246014260515,0.39435762953955994
Integer,Image,clean,0.3635836622841161,0.3585027698769877,0.35857185718571855,0.3304881488148815,0.38652325232523255,0.35909361432489095,0.3607876875235344,0.17455292998857602,0.534054667865715,0.3282998257233379
Integer,Image,deranged,0.8925752372409489,0.8492275619561956,0.8496189618961896,0.8115448544854486,0.88398499849985,0.8886601931875017,0.8918136829713927,0.8293886025453254,0.929686894396915,0.8819302911474511
Integer,Image,gap,0.05522137267593641,0.02214088688868887,0.02193819381938194,-0.04865286528652865,0.09551875187518749,0.053555526239272094,0.05382516192887932,-0.15504044508170822,0.2616831901901254,0.007598183539553222
Integer,Image,residual,-0.007340451763758006,-0.01983160396039604,-0.02003000300030003,-0.0649036903690369,0.0259372937293729,-0.011239886324466,-0.013071601156330808,-0.21427555248647925,0.1975987802102003,0.031525932512267686
Integer,Time,clean,0.7233155482650917,0.7120723168316831,0.7122352235223522,0.6835637563756376,0.7392058205820582,0.717163534102405,0.7206969832195724,0.6143992399000962,0.8012791134945275,0.5507796184099368
Integer,Time,deranged,0.8840807466615926,0.8350866894689468,0.8357635763576358,0.7938892889288929,0.8734473447344735,0.8801068090121047,0.8834806795312243,0.8172096627998765,0.9246164841237295,0.8368954323986132
Integer,Time,gap,0.5489705601455975,0.5248439135913592,0.5251965196519652,0.4627782778277828,0.583978697869787,0.5441609092037712,0.5472401254012165,0.39030232401736187,0.6753827258509402,0.2987678159467478
Integer,Time,residual,0.5468713898657231,0.5334619693969397,0.5338493849384939,0.48495349534953497,0.58000600060006,0.5384074199707324,0.542254971499738,0.38729922394523025,0.6684454504017469,0.3465854458485683
Integer,Protein,clean,0.7364362396782657,0.7286827146714672,0.7288208820882088,0.6999339933993399,0.7571197119711971,0.7301765628982363,0.7339204695617095,0.6141110773876569,0.8233284759628257,0.7060878115141607
Integer,Protein,deranged,0.8691964059864898,0.8237243180318031,0.8242544254425442,0.7804251425142514,0.8642910291029103,0.8652590436083235,0.8691867250359169,0.7895568694101931,0.9189563011225872,0.8104569528730985
Integer,Protein,gap,0.6297846882087524,0.5497745322532254,0.5513411341134113,0.466028502850285,0.6237263726372637,0.6232773214300844,0.6263520667133493,0.4810511534453724,0.7430649427551674,0.32090657789849714
Integer,Protein,residual,0.5894219776992183,0.5329358715871588,0.5345934593459346,0.4567863786378638,0.6008316831683168,0.5846338928435943,0.5874292589032646,0.43613458965081087,0.7147297530478087,0.3833720259365796
Image,Time,clean,0.31920631789255527,0.3090626162616261,0.3087968796879688,0.27169396939693974,0.34592289228922896,0.3160919928316264,0.32005271888891107,0.10918855684186049,0.5057871170616011,0.2535240927696487
Image,Time,deranged,0.8804841889827356,0.8427600372037203,0.8432643264326433,0.8046789678967897,0.878020102010201,0.8766518094293114,0.8805205098617372,0.8049446074981935,0.9269928312616077,0.8678967525954956
Image,Time,gap,0.11319489725297639,0.07660740474047405,0.07641764176417642,-0.002214521452145209,0.15782838283828382,0.1129613007620294,0.114471802005754,-0.11106809970634814,0.32680923806867135,0.05463306147132477
Image,Time,residual,0.0028779526240960565,-0.008333418541854185,-0.008454845484548454,-0.06253885388538855,0.046567356735673526,0.004806800010415693,0.004834884341771976,-0.21649820174986167,0.2238314438006381,0.025646556199371687
Image,Protein,clean,0.43593232526899184,0.4306565148514852,0.43067506750675066,0.3937110711071107,0.4673159315931593,0.4317303416765217,0.4346497499595039,0.23160547438028328,0.6149009789664611,0.31728281765921645
Image,Protein,deranged,0.8979903596775405,0.8494063198319832,0.8502310231023102,0.81000900090009,0.8852337233723373,0.8940722058412146,0.8972711885154552,0.8347918759172983,0.9338869507113685,0.754600096781921
Image,Protein,gap,0.08408679284259042,0.057291944794479445,0.057743774377437745,-0.03831083108310831,0.15143684368436836,0.08325238633562584,0.08415802088924768,-0.12727623694280787,0.2927435194106877,-0.10455212966592822
Image,Protein,residual,0.041213383698178764,0.0274425202520252,0.027662766276627664,-0.049061206120612065,0.10058445844584456,0.038787918163408486,0.03879245582009945,-0.16599564020310684,0.24190119996037882,0.005751427203730589
Time,Protein,clean,0.7510064639921835,0.7370438103810381,0.7373177317731773,0.705910291029103,0.7674422442244224,0.7454945655745515,0.7496897969077925,0.6357855580659395,0.8319639470627282,0.5599036504654165
Time,Protein,deranged,0.8780534317984446,0.8316256549654965,0.8320912091209121,0.7889825982598261,0.8705550555055506,0.8740844058798506,0.8781003438371955,0.8020464485769989,0.9241619318305927,0.7835888410873442
Time,Protein,gap,0.688749839229495,0.6113603516351636,0.6125892589258926,0.5269579957995799,0.6902031203120312,0.6839604307998607,0.6880205115860748,0.5557804529024526,0.789871025374587,0.10061080839948972
Time,Protein,residual,0.691500279175142,0.619082598259826,0.6196699669966996,0.5441668166816682,0.6899024902490248,0.6845532906158369,0.6887928698067891,0.5618806017494882,0.7811138441538966,0.21989618067555536
